Common_Nam,Life_Stage,Stream Nam,M,Y,Data_Sourc,Full_citat,Latitude,Longitude,Tw8_9_45_5,Tw8_9_85_5,TEMP_2080_RCP6
Rocky Mountain Tailed Frog,NA,Burnham Creek,8,2016,MFWP 2021,NA,49.041195,-114.536445,13.25985135,16.59118989,14.92552062
Rocky Mountain Tailed Frog,NA,NA,8,2014,GBIF,NA,49.136647,-114.69465,10.45369262,13.80305982,12.12837622
Rocky Mountain Tailed Frog,NA,NA,7,2015,GBIF,NA,49.03654,-114.590242,11.48033481,14.82003672,13.15018576
Rocky Mountain Tailed Frog,NA,NA,7,2015,GBIF,NA,49.029275,-114.394869,13.3356366,16.65667455,14.99615558
Rocky Mountain Tailed Frog,NA,NA,8,2014,GBIF,NA,49.040388,-114.387994,13.3356366,16.65667455,14.99615558
Rocky Mountain Tailed Frog,NA,NA,7,1989,GBIF,NA,49.100206,-114.633596,12.0094397,15.35259917,13.68101943
Rocky Mountain Tailed Frog,NA,NA,7,1989,GBIF,NA,49.100206,-114.633596,12.0094397,15.35259917,13.68101943
Rocky Mountain Tailed Frog,NA,NA,7,1989,GBIF,NA,49.100206,-114.633596,12.0094397,15.35259917,13.68101943
Rocky Mountain Tailed Frog,NA,NA,7,1989,GBIF,NA,49.100206,-114.633596,12.0094397,15.35259917,13.68101943
Rocky Mountain Tailed Frog,NA,NA,7,1989,GBIF,NA,49.100206,-114.633596,12.0094397,15.35259917,13.68101943
Rocky Mountain Tailed Frog,NA,NA,7,1989,GBIF,NA,49.100206,-114.633596,12.0094397,15.35259917,13.68101943
Rocky Mountain Tailed Frog,NA,NA,7,1989,GBIF,NA,49.100206,-114.633596,12.0094397,15.35259917,13.68101943
Rocky Mountain Tailed Frog,NA,NA,7,1989,GBIF,NA,49.100206,-114.633596,12.0094397,15.35259917,13.68101943
Rocky Mountain Tailed Frog,NA,McEvoy Creek,NA,2008,COSEWIC 2013,NA,49.44408556,-114.8134692,11.33595792,14.70933317,13.02264555
Rocky Mountain Tailed Frog,NA,Storm Creek,8,2010,COSEWIC 2013,NA,49.13682939,-114.6950008,10.45369262,13.80305982,12.12837622
Rocky Mountain Tailed Frog,NA,Cabin Creek,7,2010,COSEWIC 2013,NA,49.10149665,-114.6672478,12.12095557,15.4590913,13.79002343
Rocky Mountain Tailed Frog,NA,Elder Creek,8,2011,COSEWIC 2013,NA,49.04349606,-114.3873313,13.3356366,16.65667455,14.99615558
Rocky Mountain Tailed Frog,NA,Elder Creek,8,2011,COSEWIC 2013,NA,49.05375064,-114.3905654,12.38628024,15.70332423,14.04480223
Rocky Mountain Tailed Frog,NA,Burnham Creek,8,2012,COSEWIC 2013,NA,49.04643123,-114.5459377,13.25985135,16.59118989,14.92552062
Rocky Mountain Tailed Frog,,,8,2008,GBIF,GBIF.org (14 March 2022) GBIF Occurrence Download https://doi.org/10.15468/dl.z3tcpp,49.130537,-115.77594,13.02833609,16.54220848,14.78527228
Rocky Mountain Tailed Frog,,,8,2017,GBIF,GBIF.org (14 March 2022) GBIF Occurrence Download https://doi.org/10.15468/dl.z3tcpp,49.025797,-116.148449,12.8953814,16.49698058,14.69618099
Rocky Mountain Tailed Frog,,,8,2020,GBIF,GBIF.org (14 March 2022) GBIF Occurrence Download https://doi.org/10.15468/dl.z3tcpp,49.023933,-116.152214,13.24276494,16.84297053,15.04286773
